Iteration;Experiment;Strategy;Routing;Defense;ReconfigTime;Total Links Added;Links Added;Total Flux Links;Total Links Dropped;Links Dropped;Congestion;Loss;Throughput;Link Bandwidth Coefficient;Demand Factor;
1;Comcast_mcf-TE-Comcast-background-0.5_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.5;0.0;1.0;1;0.6051865;
1;Comcast_mcf-TBE-Comcast-background-1.2_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];1.5;0.247508;0.752492;1;1.4524476;
1;Comcast_mcf-greylambda-Comcast-background-0.8_2__-mcf;2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-0.3_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];1.384402;0.13198;0.867952;1;0.4900038;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.5_2__-mcf;1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-0.5_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];2.840543;0.436572;0.563381;1;0.816673;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.4_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];1.899457;0.241114;0.758782;1;0.6533384;
1;Comcast_mcf-TBE-Comcast-background-plus-flashcrowd-0.1_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];nan;0.0;0.0;1;0.1633346;
1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-0.6_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];3.471546;0.508396;0.491529;1;0.9800076;
1;Comcast_semimcfraekeft-TE-Comcast-background-1.3_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];1.772857;0.373322;0.626622;1;1.5734849;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-1.4_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];61;0;[];2.330976;0.45229;0.547507;1;1.6945221999999998;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-1.0_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];1.397444;0.178506;0.821426;1;1.210373;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-1.5_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];2.123698;0.448497;0.551429;1;1.8155595;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-1.2_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];5.508727;0.689427;0.310501;1;1.9600152;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-1.3_2__-mcf;1;Comcast_mcf-greylambda-Comcast-background-0.4_2__-mcf;2;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.2_2__-mcf;-mcf greylambda;MCF;greylambda;0;0;[];0;0;[];0.532252;0.0;1.0;1;0.3266692;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-1.4_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];101;0;[];6.963144;0.712152;0.287703;1;2.2866844;
1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-1.1_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];6.462294;0.717896;0.282072;1;1.7966806000000002;
1;Comcast_mcf-TE-Comcast-background-1.2_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];1.2;0.122698;0.877302;1;1.4524476;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.1_2__-mcf;1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-0.3_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];1.724801;0.212524;0.787422;1;0.4900038;
1;Comcast_mcf-TE-Comcast-background-0.8_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.8;0.0;1.0;1;0.9682984;
1;Comcast_semimcfraekeft-TBE-Comcast-background-0.1_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];0.171519;0.0;0.999975;1;0.1210373;
1;Comcast_mcf-greylambda-Comcast-background-1.1_2__-mcf;1;Comcast_mcf-TBE-Comcast-background-1.4_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];1.75;0.335102;0.664898;1;1.6945221999999998;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-0.1_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.266126;0.0;1.0;1;0.1633346;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-1.5_2__-mcf;1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-1.1_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];2.927385;0.514067;0.485933;1;1.7966806000000002;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.3_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];1.459844;0.151116;0.848755;1;0.4900038;
1;Comcast_mcf-TBE-Comcast-background-plus-flashcrowd-0.8_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];2.661259;0.476173;0.523827;1;1.3066768;
1;Comcast_mcf-TBE-Comcast-background-plus-flashcrowd-1.4_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];4.657203;0.66643;0.33357;1;2.2866844;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-0.2_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];0.303092;0.0;0.999851;1;0.2420746;
1;Comcast_mcf-greylambda-Comcast-background-0.5_2__-mcf;1;Comcast_semimcfraekeft-TBE-Comcast-background-0.5_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];0.941521;0.0;0.999872;1;0.6051865;
2;Comcast_mcf-greylambda-Comcast-background-0.7_2__-mcf;-mcf greylambda;MCF;greylambda;0;0;[];0;0;[];0.7;0.0;1.0;1;0.8472610999999999;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-0.1_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];0.143361;0.0;0.999833;1;0.1210373;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.7_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];3.245155;0.487882;0.512058;1;1.1433422;
1;Comcast_semimcfraekeft-TBE-Comcast-background-1.0_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];1.793422;0.317856;0.682123;1;1.210373;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.2_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];0.980851;0.0;0.999844;1;0.3266692;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-0.4_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];nan;0.0;0.0;1;0.6533384;
2;Comcast_mcf-greylambda-Comcast-background-1.4_2__-mcf;-mcf greylambda;MCF;greylambda;0;0;[];39;0;[];0.789229;0.0;1.0;1;1.6945221999999998;
